model,seed,horizon,R2,RMSE
sa__concat@w5_1min,4,30,0.6414188855810544,26.78113062498068
sa__concat@w5_1min,5,30,0.5903077593998455,28.62622436219523
sa__concat@w5_1min,6,30,0.6560159564045179,26.23036598147266
sa__concat@w5_1min,7,30,0.6195004430470368,27.58749574435802
sa__concat@w5_1min,8,30,0.5188245007432932,31.023225830628544
sa__concat@w5_1min,9,30,0.6369062822083499,26.949118799183655
sa__concat@w5_1min,10,30,0.6357642390446212,26.991467223993464
sa__concat@w5_1min,11,30,0.6369597465384289,26.947134642539005
sa__concat@w5_1min,12,30,0.6491953781053242,26.48913976271313
sa__concat@w5_1min,13,30,0.6251952295019101,27.38027189030049
sa__concat@w5_1min,14,30,0.6393896100339429,26.856803351783984
sa__concat@w60,0,30,0.6308181872353418,27.17411133667755
sa__concat@w60,1,30,0.608962976007259,27.966887857825643
sa__concat@w60,2,30,0.6292179653482886,27.2329408712891
sa__concat@w60,3,30,0.6049969602700882,28.108354380260863
sa__concat@w60,4,30,0.6446142838893694,26.6615372081359
sa__concat@w60,5,30,0.595428294317205,28.446769562019014
sa__concat@w60,6,30,0.6226410825232893,27.473406378673893
sa__concat@w60,7,30,0.6320501598557446,27.128732967802566
sa__concat@w60,8,30,0.5390691413642785,30.363588265404385
sa__concat@w60,9,30,0.5605630313380825,29.647187262607936
sa__concat@w60,10,30,0.6260369110416968,27.349511313327984
sa__concat@w60,11,30,0.6303659956000378,27.190748322867915
sa__concat@w60,12,30,0.6202433359218334,27.56055147216232
sa__concat@w60,13,30,0.6181848362563331,27.635147545271927
sa__concat@w60,14,30,0.6049661689767969,28.109449910713206
cnn_gru__concat@w10_1min,0,60,0.5408990123528292,38.30483734076901
cnn_gru__concat@w10_1min,1,60,0.5382000751850595,38.41726451623145
cnn_gru__concat@w10_1min,2,60,0.5024920868101986,39.87489067733444
cnn_gru__concat@w10_1min,3,60,0.5024445683711667,39.87679491570853
cnn_gru__concat@w10_1min,4,60,0.5521417073361695,37.832916249726985
cnn_gru__concat@w10_1min,5,60,0.5069986478784281,39.69388107083358
cnn_gru__concat@w10_1min,6,60,0.5414125905817836,38.28340628763211
cnn_gru__concat@w10_1min,7,60,0.5640881770495196,37.3249154899227
cnn_gru__concat@w10_1min,8,60,0.5204134942049439,39.15010997373114
cnn_gru__concat@w10_1min,9,60,0.5020958384300365,39.89076702377941
cnn_gru__concat@w10_1min,10,60,0.5317410715698639,38.68499476492845
cnn_gru__concat@w10_1min,11,60,0.5763344869091533,36.79688585600646
cnn_gru__concat@w10_1min,12,60,0.4995185714997388,39.993875678851005
cnn_gru__concat@w10_1min,13,60,0.5061886924207726,39.72647437035203
cnn_gru__concat@w10_1min,14,60,0.5942736417613778,36.0094195074604
cnn_gru__concat@w10_5min,0,60,0.5190167329629045,39.20707946527266
cnn_gru__concat@w10_5min,1,60,0.507878324006352,39.65845180725387
cnn_gru__concat@w10_5min,2,60,0.5100039385826214,39.57271101193289
cnn_gru__concat@w10_5min,3,60,0.5408893300511085,38.30524125738766
cnn_gru__concat@w10_5min,4,60,0.531845046692069,38.68069959817177
cnn_gru__concat@w10_5min,5,60,0.5096071700517493,39.58872953786242
cnn_gru__concat@w10_5min,6,60,0.5863735263719367,36.35830869730197
cnn_gru__concat@w10_5min,7,60,0.5463648031679093,38.07613699017159
cnn_gru__concat@w10_5min,8,60,0.48707331611404103,40.48807747962692
cnn_gru__concat@w10_5min,9,60,0.53640746394892,38.49175621023296
cnn_gru__concat@w10_5min,10,60,0.536697253842503,38.47972380593873
cnn_gru__concat@w10_5min,11,60,0.5631034184889172,37.36705164321516
cnn_gru__concat@w10_5min,12,60,0.5127998629702335,39.459648275236425
cnn_gru__concat@w10_5min,13,60,0.46563366643360515,41.325589108823
cnn_gru__concat@w10_5min,14,60,0.5760853877312669,36.807701849759454
cnn_gru__concat@w5_1min,0,60,0.5527296379277377,37.80807531905136
cnn_gru__concat@w5_1min,1,60,0.5627546314400773,37.381964261066585
cnn_gru__concat@w5_1min,2,60,0.5376833957007046,38.4387498634423
cnn_gru__concat@w5_1min,3,60,0.5265597837976256,38.898430817677756
cnn_gru__concat@w5_1min,4,60,0.5560771074183576,37.66632763915591
cnn_gru__concat@w5_1min,5,60,0.5385999385304661,38.40062854265987
cnn_gru__concat@w5_1min,6,60,0.5593610967186096,37.52674773246594
cnn_gru__concat@w5_1min,7,60,0.5524641023268748,37.81929660850361
cnn_gru__concat@w5_1min,8,60,0.4644975575378514,41.369496666074504
cnn_gru__concat@w5_1min,9,60,0.5737849817302716,36.90743667333538
cnn_gru__concat@w5_1min,10,60,0.5311870754851304,38.707872065544215
cnn_gru__concat@w5_1min,11,60,0.5687333145006552,37.12551308806825
cnn_gru__concat@w5_1min,12,60,0.555060067185441,37.709450279472996
cnn_gru__concat@w5_1min,13,60,0.5359751279778816,38.50970030064681
cnn_gru__concat@w5_1min,14,60,0.56984462055404,37.07764894526617
cnn_gru__concat@w60,0,60,0.5118351281236758,39.49869718781266
cnn_gru__concat@w60,1,60,0.5411877831305734,38.292788730675795
cnn_gru__concat@w60,2,60,0.5004485531370275,39.95670060903813
cnn_gru__concat@w60,3,60,0.5054190284846616,39.75742154525196
cnn_gru__concat@w60,4,60,0.5380226797727274,38.42464259465628
cnn_gru__concat@w60,5,60,0.5068033306284527,39.70174325206743
cnn_gru__concat@w60,6,60,0.5436450880177156,38.19010686746019
cnn_gru__concat@w60,7,60,0.5131785494783735,39.44430987519406
cnn_gru__concat@w60,8,60,0.42319037925699643,42.93542406353882
cnn_gru__concat@w60,9,60,0.5219320537507677,39.08807850591111
cnn_gru__concat@w60,10,60,0.506943883468572,39.696085681020726
cnn_gru__concat@w60,11,60,0.551712228418691,37.851052060362996
cnn_gru__concat@w60,12,60,0.524432486500994,38.985723551965286
cnn_gru__concat@w60,13,60,0.5115634679900818,39.509686025361184
cnn_gru__concat@w60,14,60,0.5819878321926354,36.55055457460161
dl_current@w10_1min,0,60,0.5487531212222867,37.975772274594
dl_current@w10_1min,1,60,0.5165435558637952,39.30775003869143
dl_current@w10_1min,2,60,0.5397661533906056,38.352067953549856
dl_current@w10_1min,3,60,0.4839610027004594,40.61072757414104
dl_current@w10_1min,4,60,0.5484976809872979,37.986519349229226
dl_current@w10_1min,5,60,0.5034324965453458,39.837186279511315
dl_current@w10_1min,6,60,0.5718961381879344,36.989127023957934
dl_current@w10_1min,7,60,0.5576349926351585,37.6001772010246
dl_current@w10_1min,8,60,0.42563762402642946,42.84424564459049
dl_current@w10_1min,9,60,0.5609129781106368,37.46060692228293
dl_current@w10_1min,10,60,0.5391546449272965,38.377538515053445
dl_current@w10_1min,11,60,0.5574063607420642,37.609892582069136
dl_current@w10_1min,12,60,0.5295340035335767,38.77605554318239
dl_current@w10_1min,13,60,0.5272013236285427,38.872067032503494
dl_current@w10_1min,14,60,0.5751736228213851,36.84726399740397
dl_current@w10_5min,0,60,0.5703786176660679,37.054627605795446
dl_current@w10_5min,1,60,0.5246738905408566,38.975827474622555
dl_current@w10_5min,2,60,0.5466266217086072,38.065147457689186
dl_current@w10_5min,3,60,0.5045473986525668,39.79243957263311
dl_current@w10_5min,4,60,0.5371802654735618,38.459660250260164
dl_current@w10_5min,5,60,0.47915912526786864,40.79923676267708
dl_current@w10_5min,6,60,0.558451324834449,37.56546784499345
dl_current@w10_5min,7,60,0.5331761782601856,38.62566893733451
dl_current@w10_5min,8,60,0.5099899448819678,39.57327608251393
dl_current@w10_5min,9,60,0.5387116212561418,38.39598079033602
dl_current@w10_5min,10,60,0.5235735241566022,39.020915359804995
dl_current@w10_5min,11,60,0.5647408640419131,37.29696188618515
dl_current@w10_5min,12,60,0.5175447448984654,39.26702777228864
dl_current@w10_5min,13,60,0.5100243708820369,39.571885933964964
dl_current@w10_5min,14,60,0.5715037384528605,37.00607524664621
dl_current@w5_1min,0,60,0.5601465774266076,37.49328531679963
dl_current@w5_1min,1,60,0.5192065473894232,39.199342393953785
dl_current@w5_1min,2,60,0.49124287769399044,40.32317865781775
dl_current@w5_1min,3,60,0.48618786720543805,40.523009046604294
dl_current@w5_1min,4,60,0.48360527169428724,40.62472264645649
dl_current@w5_1min,5,60,0.5054712898218765,39.75532094795314
dl_current@w5_1min,6,60,0.5610371808371919,37.455308384230214
dl_current@w5_1min,7,60,0.5248179816256617,38.96991943082829
dl_current@w5_1min,8,60,0.3821165616902271,44.43782417152127
dl_current@w5_1min,9,60,0.5068991048398162,39.69788821005109
dl_current@w5_1min,10,60,0.5509794009580486,37.88197746727263
dl_current@w5_1min,11,60,0.5783150356967417,36.71077618043395
dl_current@w5_1min,12,60,0.5267495254733614,38.8906353317509
dl_current@w5_1min,13,60,0.5565955577680974,37.644326266800334
dl_current@w5_1min,14,60,0.5835231779219585,36.4833682978311
dl_current@w60,0,60,0.5567178086414284,37.639136457480724
dl_current@w60,1,60,0.5464484229597734,38.07262749023537
dl_current@w60,2,60,0.4895329895617715,40.39088315434094
dl_current@w60,3,60,0.5296585440846378,38.77092285453253
dl_current@w60,4,60,0.5340275844165483,38.59042958241856
dl_current@w60,5,60,0.477052235529576,40.88167339795949
dl_current@w60,6,60,0.5615346238634896,37.43407974862027
dl_current@w60,7,60,0.5431202041096077,38.212063037376694
dl_current@w60,8,60,0.5250194880481258,38.96165573246959
dl_current@w60,9,60,0.5164561392623204,39.311303610733034
dl_current@w60,10,60,0.5256634518297656,38.9352352748644
dl_current@w60,11,60,0.565785389570963,37.252182780897584
dl_current@w60,12,60,0.5651857724778088,37.277895111735106
dl_current@w60,13,60,0.5417145994651082,38.2707981863867
dl_current@w60,14,60,0.5374549697999724,38.44824478712619
persistence_5min,0,60,-0.023596099031794715,57.195758006007146
persistence_5min,1,60,-0.023596099031794715,57.195758006007146
persistence_5min,2,60,-0.023596099031794715,57.195758006007146
persistence_5min,3,60,-0.023596099031794715,57.195758006007146
persistence_5min,4,60,-0.023596099031794715,57.19575800600715
persistence_5min,5,60,-0.023596099031794715,57.195758006007146
persistence_5min,6,60,-0.023596099031794715,57.19575800600715
persistence_5min,7,60,-0.023596099031794715,57.195758006007146
persistence_5min,8,60,-0.023596099031794493,57.195758006007146
persistence_5min,9,60,-0.023596099031794715,57.195758006007146
persistence_5min,10,60,-0.023596099031794715,57.195758006007146
persistence_5min,11,60,-0.023596099031794715,57.195758006007146
persistence_5min,12,60,-0.023596099031794715,57.195758006007146
persistence_5min,13,60,-0.023596099031794715,57.195758006007146
persistence_5min,14,60,-0.023596099031794715,57.195758006007146
rf_highres@w10_1min,0,60,0.5434111423979233,38.19989449464126
rf_highres@w10_1min,1,60,0.5140406358054834,39.40936948002328
rf_highres@w10_1min,2,60,0.41316076627448783,43.30709769072984
rf_highres@w10_1min,3,60,0.4691297564370125,41.19018100228183
rf_highres@w10_1min,4,60,0.5182814770705938,39.23703500622735
rf_highres@w10_1min,5,60,0.48341079374536056,40.6323717069389
rf_highres@w10_1min,6,60,0.5895819581207655,36.21702150243459
rf_highres@w10_1min,7,60,0.5384522598055451,38.40677342931536
rf_highres@w10_1min,8,60,0.4492944761644251,41.952633232031985
rf_highres@w10_1min,9,60,0.5101227766425147,39.567911963793755
rf_highres@w10_1min,10,60,0.49088370907647816,40.337409677375454
rf_highres@w10_1min,11,60,0.4976946574493717,40.06668462777612
rf_highres@w10_1min,12,60,0.5098009506620282,39.580906945738626
rf_highres@w10_1min,13,60,0.48311184623342895,40.644126878594726
rf_highres@w10_1min,14,60,0.5253184983719252,38.94939020677829
rf_highres@w60,0,60,0.5135741060898105,39.428281793246285
rf_highres@w60,1,60,0.5093811604697538,39.597851206242076
rf_highres@w60,2,60,0.39426974808492543,43.998628691700745
rf_highres@w60,3,60,0.47009827259039805,41.15259030280718
rf_highres@w60,4,60,0.4913701866693023,40.31813320143277
rf_highres@w60,5,60,0.466908573098449,41.27626177631553
rf_highres@w60,6,60,0.5320023468774733,38.6742006896821
rf_highres@w60,7,60,0.5106611250584383,39.546164496083755
rf_highres@w60,8,60,0.4545990882307773,41.75009218646389
rf_highres@w60,9,60,0.4837740717065031,40.61808236355971
rf_highres@w60,10,60,0.4830125444773504,40.64803085600001
rf_highres@w60,11,60,0.4667843304154833,41.28107143417356
rf_highres@w60,12,60,0.4750691139070261,40.95911575438648
rf_highres@w60,13,60,0.46834302217937696,41.22069102772365
rf_highres@w60,14,60,0.5250654479359784,38.95977069023925
sa__concat@w10_1min,0,60,0.542954314397786,38.218999668058096
sa__concat@w10_1min,1,60,0.5224122920314169,39.068440807614365
sa__concat@w10_1min,2,60,0.5351627115996012,38.54339701739209
sa__concat@w10_1min,3,60,0.5289439000046597,38.800366244399754
sa__concat@w10_1min,4,60,0.5516449224638685,37.85389343340994
sa__concat@w10_1min,5,60,0.5583956622582348,37.567835562235054
sa__concat@w10_1min,6,60,0.5537501263909967,37.76491938855174
sa__concat@w10_1min,7,60,0.550555393012918,37.89985912946001
sa__concat@w10_1min,8,60,0.5006480557222156,39.94872118954686
sa__concat@w10_1min,9,60,0.5272929600017802,38.86829981821503
sa__concat@w10_1min,10,60,0.5419172286308138,38.26233660625062
sa__concat@w10_1min,11,60,0.5720584357529108,36.982114923788465
sa__concat@w10_1min,12,60,0.5677743946973466,37.1667643874876
sa__concat@w10_1min,13,60,0.4961635637058187,40.12770246741619
sa__concat@w10_1min,14,60,0.573947935923963,36.900380614434766
sa__concat@w10_5min,0,60,0.581682925351124,36.56388251513686
sa__concat@w10_5min,1,60,0.5642137998485925,37.31953688125187
sa__concat@w10_5min,2,60,0.5184262236441999,39.231139599670136
sa__concat@w10_5min,3,60,0.5383367038240201,38.41158100853141
sa__concat@w10_5min,4,60,0.5667290877733364,37.21167983747675
sa__concat@w10_5min,5,60,0.5016240339000446,39.90966241533139
