scenario,sim,comparison,ddR2,lo,hi,perm_p,holm_p,seed_pos_frac,verdict,ref_ddR2,ci_covers_ref
no_cgm,106,global_vs_subz,-0.0022184070184025056,-0.010853535361477753,0.005462971804413631,0.5960403959604039,0.5960403959604039,0.5,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,106,global_vs_subcenter,-0.004028476686809053,-0.010277833406686384,0.0009985532755944343,0.17328267173282672,0.34656534346565343,0.25,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,107,global_vs_premeal,-0.002321841328682596,-0.004114133898042938,-0.0007565564793919223,0.0052994700529947,0.015898410158984102,0.0,NEGLIGIBLE,-1.2279994176884975e-05,False
no_cgm,107,global_vs_subz,0.0032381452429862574,-0.0033608429050138683,0.010294070929189332,0.37196280371962803,0.7439256074392561,1.0,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,107,global_vs_subcenter,-0.00020348683013474164,-0.0027062836834860346,0.0027206681231275935,0.8912108789121088,0.8912108789121088,0.5,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,108,global_vs_premeal,-0.0016970024651289004,-0.004341723085713742,0.0007971351366400179,0.20857914208579142,0.6257374262573743,0.25,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,108,global_vs_subz,0.00291442308670575,-0.0035089817122103085,0.009201834472144517,0.37836216378362164,0.7567243275672433,1.0,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,108,global_vs_subcenter,-0.00019916264825086855,-0.003104960694771554,0.0025726267036172376,0.8962103789621038,0.8962103789621038,0.5,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,109,global_vs_premeal,-0.0007945813306585425,-0.0013803065821811297,-0.00026847369790679266,0.0051994800519948,0.0155984401559844,0.0,NEGLIGIBLE,-1.2279994176884975e-05,False
no_cgm,109,global_vs_subz,0.004167508494968529,-0.0007957620998259015,0.009579637414186382,0.13438656134386562,0.26877312268773124,1.0,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,109,global_vs_subcenter,0.0011622057118534862,-0.0007828148249820799,0.0031570059282703716,0.26507349265073493,0.26877312268773124,0.75,NEGLIGIBLE,-1.4910008964005766e-06,True
