horizon,increment,kind,metric,arm,config,estimate,lo,hi,perm_p,seed_pos_frac,holm_p,verdict
30,CGM adds beyond context,level,within_30,subject_z,static_all,60.295728368017535,54.59300675594595,65.61209057448235,,,,
30,CGM adds beyond context,increment,within_30,subject_z,,5.8461117196056875,3.510254819037119,8.233156982718114,,,,
30,CGM adds beyond context,interaction,within_30,global vs subject_z,,12.130339539978095,7.8140068112431225,16.97904359939788,9.999000099990002e-05,1.0,,
30,CGM adds beyond context,level,clarke_A,global,cgm_static,76.61555312157722,71.35191495620032,81.01990245943858,,,,
30,CGM adds beyond context,level,clarke_A,global,static_all,57.89978094194962,52.66438747630199,62.96296296296296,,,,
30,CGM adds beyond context,increment,clarke_A,global,,18.7157721796276,14.33345182790568,23.04064078339795,,,,
30,CGM adds beyond context,level,clarke_A,subject_z,cgm_static,62.96549835706462,56.766386087479766,68.82704585794193,,,,
30,CGM adds beyond context,level,clarke_A,subject_z,static_all,57.89978094194962,52.66438747630199,62.96296296296296,,,,
30,CGM adds beyond context,increment,clarke_A,subject_z,,5.065717415114996,2.7176955722453138,7.359147225782215,,,,
30,CGM adds beyond context,interaction,clarke_A,global vs subject_z,,13.650054764512603,9.07943309509027,18.43144188584036,9.999000099990002e-05,1.0,,
30,CGM adds beyond context,level,clarke_AB,global,cgm_static,98.93209200438116,98.19696010212253,99.55302185064932,,,,
30,CGM adds beyond context,level,clarke_AB,global,static_all,97.91894852135816,96.77172003613732,98.90382859449225,,,,
30,CGM adds beyond context,increment,clarke_AB,global,,1.0131434830230006,0.4737296243976172,1.6509498331548107,,,,
30,CGM adds beyond context,level,clarke_AB,subject_z,cgm_static,98.45290251916758,97.69671250299011,99.149155627521,,,,
30,CGM adds beyond context,level,clarke_AB,subject_z,static_all,97.91894852135816,96.77172003613732,98.90382859449225,,,,
30,CGM adds beyond context,increment,clarke_AB,subject_z,,0.5339539978094194,0.12448010157172931,1.1517029113553878,,,,
30,CGM adds beyond context,interaction,clarke_AB,global vs subject_z,,0.4791894852135812,0.1412270500085789,0.8710972866196458,0.019698030196980302,1.0,,
60,CGM adds beyond context,level,within_10,global,cgm_static,23.863636363636363,20.348484170065028,27.1173315370606,,,,
60,CGM adds beyond context,level,within_10,global,static_all,20.016429353778754,16.690592741632294,23.081945044889654,,,,
60,CGM adds beyond context,increment,within_10,global,,3.847207009857609,1.2231614634892558,6.421058793383762,,,,
60,CGM adds beyond context,level,within_10,subject_z,cgm_static,19.523548740416214,16.43885928079242,22.46325419270362,,,,
60,CGM adds beyond context,level,within_10,subject_z,static_all,20.016429353778754,16.690592741632294,23.081945044889654,,,,
60,CGM adds beyond context,increment,within_10,subject_z,,-0.49288061336254074,-2.1751060991646134,1.2485844947735214,,,,
60,CGM adds beyond context,interaction,within_10,global vs subject_z,,4.34008762322015,2.055137500372475,6.557181631455395,0.000999900009999,1.0,0.004999500049995,CHANGES
60,CGM adds beyond context,level,within_20,global,cgm_static,44.33187294633078,38.49159920688402,49.59411082626446,,,,
60,CGM adds beyond context,level,within_20,global,static_all,37.691675794085434,32.175286978619,43.06649294369272,,,,
60,CGM adds beyond context,increment,within_20,global,,6.640197152245349,2.5132642575223056,10.73953178530644,,,,
60,CGM adds beyond context,level,within_20,subject_z,cgm_static,39.10186199342826,33.91750078215068,43.94642430155963,,,,
60,CGM adds beyond context,level,within_20,subject_z,static_all,37.691675794085434,32.175286978619,43.06649294369272,,,,
60,CGM adds beyond context,increment,within_20,subject_z,,1.4101861993428244,-1.0253243930023186,3.873866981369139,,,,
