horizon,diag,group,model,n_participants,n_meals,R2,R2_lo,R2_hi,RMSE,RMSE_lo,RMSE_hi,MAE,MAE_lo,MAE_hi,bias,skill_vs_persistence,skill_lo,skill_hi
60,2,t2d,full,13,318,0.518140014502866,0.3417456508460886,0.6082020857696061,44.18898002667493,39.53403680193612,47.8615690067861,35.739554762185534,31.18069345325319,39.59061077463319,-3.1025817535377365,0.38278729578876725,0.29166810930890424,0.4456492229404848
60,2,t2d,cgm_static,13,318,0.5470801717031254,0.3756039370213218,0.636973356895496,42.82277812803564,38.07908320330271,46.57976171282338,34.18406136988993,29.746021844611374,38.113263915309346,-2.173873858883648,0.40186981744572003,0.3070367936502572,0.4672820617738167
60,2,t2d,cgm_person_meal,13,318,0.4946086132592705,0.28710269771035274,0.6082348269081813,45.272728539027796,40.42675377697665,49.25560541633708,36.6589831745283,32.14295425905693,40.85527632394907,-2.8890138514150956,0.3676499617839899,0.2690095106046909,0.44367891432666046
60,2,t2d,cgm,13,318,0.29698258574760833,0.11496323093231263,0.37807107570949416,53.48685327291115,47.42659673571634,59.46993601684949,42.08096645636792,37.24934118735847,46.81706876080412,-7.398844983883649,0.25291859354086543,0.1751107946864385,0.304234055285642
60,2,t2d,static_all,13,318,0.40103916589891964,0.21321442494968695,0.50294838733286,49.07813246290173,43.62247899318966,53.35259537862072,39.04468592570754,34.161068413738896,43.54443703157292,-0.9051353431603774,0.3144977133036577,0.21438485604867646,0.38637088828803406
60,2,t2d,persistence_5min,13,318,-0.2589613539082374,-0.5527542672029316,-0.04612145543181618,71.5944110112676,60.46474465313777,81.55745667846111,55.21358490566038,46.19481687763712,63.879897584541055,-47.04,0.0,0.0,0.0
120,0,healthy,full,11,252,0.13249878063322373,-0.2355000663357608,0.2033344200867387,32.21971786457278,22.51634895162243,44.426564306210956,22.819946313988094,17.975255473586895,30.074702043416448,1.634187455853174,0.16077998501745272,0.047315488839236364,0.2062636767688417
120,0,healthy,cgm_static,11,252,0.15448430675704208,-0.24603687580523895,0.22052181594559683,31.807440194307972,22.850666431828657,43.39788929247981,22.631987151289678,18.074650185682774,29.76290654904997,1.5933072633928567,0.17151849222818882,0.04247471497893627,0.21586714952751054
120,0,healthy,cgm_person_meal,11,252,0.12652538569339544,-0.25688140185329345,0.18541783219703223,32.32967200365431,23.159284812590908,44.37936533321327,23.10630581001984,18.406897819512935,30.81324071864126,1.4427146155753963,0.15791603336414362,0.03583668859701217,0.20033551530456145
120,0,healthy,cgm,11,252,-0.5942647529052012,-2.1339602349488347,-0.32434611072400676,43.67929264241381,34.059304805782375,56.2068210275699,33.90299609375,27.80716665589867,42.161357589733214,20.403486080853174,-0.13770507798577958,-0.534416837785721,-0.0016334271901852152
120,0,healthy,static_all,11,252,-0.014586748017499651,-0.751041176394496,0.1496540219046544,34.83664465643495,24.882504126504063,46.003185226080355,25.672119085813492,19.79650965863201,32.46032586438641,1.4155881661706347,0.09261745948864886,-0.147362432745753,0.1838190293928134
120,0,healthy,persistence_5min,11,252,-0.23132787828453738,-0.5231460830378061,-0.129037353222566,38.39245643497055,24.62687783158657,54.52236068026424,25.900952380952376,18.365428686868682,37.388427820844086,-14.942857142857145,0.0,0.0,0.0
120,1,prediabetes,full,16,343,0.16812748395877972,-0.3245789905329,0.3378575006394533,36.549736790703776,30.721556063954104,42.634798177016535,27.978594760568512,24.007899583895128,32.49151402488987,3.33126613228863,0.25724947315500224,0.15620026170357182,0.32834969994837987
120,1,prediabetes,cgm_static,16,343,0.289906441003651,-0.11959997815359032,0.446633016559622,33.76531633799278,28.356790180291874,39.437523103819395,25.45863084620991,21.952724000203954,29.465662227611144,0.9409092368804667,0.31383345815199126,0.2238138736647431,0.38077441978292953
120,1,prediabetes,cgm_person_meal,16,343,0.26129737810917986,-0.14028861680898033,0.42676858023853315,34.43898251017119,29.04075431066926,40.32227050568882,26.0750551851312,22.666875173127497,30.148877482287663,0.7711010561224493,0.3001434579430038,0.21428395842490996,0.36751418263410146
120,1,prediabetes,cgm,16,343,0.030998328861344432,-0.4633904677946909,0.18730583813229995,39.45694814308932,34.01166526867528,45.75415058441122,29.446198650874635,26.313810139929174,33.166899732849295,4.710475061953353,0.19817017592232455,0.12538679533281874,0.2524266886040489
120,1,prediabetes,static_all,16,343,0.16408364292329847,-0.42241573473569355,0.4170201717112689,36.632655712082574,30.878045900001503,42.66611061193287,27.208851535714288,23.10326867875951,32.119766124642396,0.897424871720117,0.25556442483598985,0.1218644655359036,0.3605219952776442
120,1,prediabetes,persistence_5min,16,343,-0.5069718046598253,-0.9912010198425334,-0.3392735303881299,49.208631255984585,40.480657390684286,58.77702753993705,37.15545189504373,30.945053389104807,45.23727130149813,-29.829504373177844,0.0,0.0,0.0
120,2,t2d,full,13,318,0.22721998542516392,-0.1019070361813914,0.416509971201826,55.722112136317094,48.55696977671738,62.430311061521216,44.65703072327044,40.13911215979818,49.35566906590045,1.8028682625786152,0.28088062553048,0.15372990206618614,0.3784929960322068
120,2,t2d,cgm_static,13,318,0.28999121759332214,-0.023714873480917685,0.4622205711524312,53.39860202173082,46.026429303962956,60.29310219279595,41.99996353773585,37.72364674008685,46.763714896791505,1.0750461635220114,0.31086658758603325,0.18607670814787075,0.40228551939953056
120,2,t2d,cgm_person_meal,13,318,0.2565137480193411,-0.05547620500030019,0.4313050587188328,54.62680094663625,46.975191431408795,61.65114061534698,42.89709391116352,37.93708183025631,48.038533985998235,-0.032209139150944255,0.2950161180194554,0.17181641578625478,0.38355195725075125
120,2,t2d,cgm,13,318,0.056407545050750366,-0.15535141412874454,0.1718810369578816,61.58470571514668,52.59089041371953,69.233149409591,47.61232821147799,40.87919897501683,53.956289202065356,-12.83668039544025,0.20522117068312462,0.13967612269132526,0.251736961744891
120,2,t2d,static_all,13,318,0.205288651922962,-0.18575262431242356,0.41847690130575965,56.48180148923986,47.98013378671774,64.75429560438961,44.10018281643082,39.11532448458678,49.19897803174878,1.369420528694968,0.2710764865393287,0.12379924854496019,0.37917545351568666
120,2,t2d,persistence_5min,13,318,-0.4933851921562502,-0.8369253866097442,-0.2750085542623164,77.4865955703421,63.529326806419455,89.51099197330272,60.2474213836478,48.69707931034483,70.81604277643258,-45.787798742138364,0.0,0.0,0.0
